Category,Item Name,Description,Price,Available
VEG-APPETIZERS,BABAI IDLY,,9.99,TRUE
VEG-APPETIZERS,CHENNAI IDLY (SAMBAR IDLY),,9.99,TRUE
VEG-APPETIZERS,MADURAI VADA ( SAMBAR VADA),,9.99,TRUE
VEG-APPETIZERS,RASAM IDLY ( GODAVARI SPECIAL),,9.99,TRUE
VEG-APPETIZERS,VADA,,9.99,TRUE
VEG-APPETIZERS,SOUTH CENTRAL COMBO (IDLY+ VADA),,12.99,TRUE
VEG-APPETIZERS,RASAM VADA,,9.99,TRUE
VEG-APPETIZERS,DELHI SPECIAL CHOLE BATURE,,12.99,TRUE
VEG-APPETIZERS,POORI MASALA,,11.99,TRUE
VEG-APPETIZERS,UPMA,,9.99,TRUE
SOUTH INDIAN DOSA VARIETIES,GODAVARI SPECIAL VEG UTHAPPAM,,13.99,TRUE
NON-VEGETARIAN ENTREES,ANDHRA MAMSAM KURA (GOAT CURRY WITH ANDHRA SPICES),,19.99,TRUE
Uncategorized,GONGURA ROYYALU (SHRIMP GONGURA),,17.99,TRUE
TANDOOR,KODI TANDOORI (CHICKEN TANDOORI - FULL),,19.99,TRUE
GODAVARI-CHINESE SPECIALITIES,SHANGAI CHILLI PANEER,,14.99,TRUE
DESSERTS,GODAVARI PAYASAM (KHEER),,4.99,TRUE
DESSERTS,RASMALAI,,4.99,TRUE
DESSERTS,RASGULLA,,4.99,TRUE
DESSERTS,GAJAR KA HALWA,,4.99,TRUE
DESSERTS,DESI ICE CREAM SPECIALS,,3.99,TRUE
DRINKS,NUZIVEEDU MANGO LASSI,,3.99,TRUE
Uncategorized,CHANDIGARH SWEET LASSI,,3.99,TRUE
Uncategorized,JAIPUR SALT LASSI,,3.99,TRUE
DRINKS,HANGOVER BUTTERMILK (GINGER),,3.99,TRUE
DRINKS,THUMS UP (TASTE THE THUNDER),,3.99,TRUE
Uncategorized,LIMCA,,2.99,TRUE
DRINKS,MASALA CHAI,,2.99,TRUE
DRINKS,CHENNAI COFFEE,,3.99,TRUE
BEER,BLUE MOON,,4.99,TRUE
Uncategorized,SAM ADAMS SEASONAL,,4.99,TRUE
Uncategorized,SAM ADAMS LAGER,,4.99,TRUE
BEER,KINGFISHER 35O ML,,5.99,TRUE
Uncategorized,KINGFISHER 750 ML,,7.99,TRUE
Uncategorized,RIESLING GLASS,,7.0,TRUE
Uncategorized,RIESLING BOTTLE,,26.0,TRUE
Uncategorized,SPARKLING WINE GLASS,,7.0,TRUE
Uncategorized,PINOT GRIGIO GLASS,,7.0,TRUE
Uncategorized,PINOT GRIGIO BOTTLE,,26.0,TRUE
Uncategorized,WHITE CHARDONNAY GLASS,,9.0,TRUE
Uncategorized,WHITE CHARDONNAY BOTTLE,,32.0,TRUE
Uncategorized,PINOT NOIR GLASS,,8.0,TRUE
Uncategorized,PINOT NOIR BOTTLE,,29.0,TRUE
Uncategorized,MALBEC GLASS,,7.99,TRUE
Uncategorized,MALBEC BOTTLE,,26.0,TRUE
Uncategorized,LODI GLASS,,8.0,TRUE
Uncategorized,LODI BOTTLE,,28.0,TRUE
Uncategorized,Maha Raja,,5.99,TRUE
Uncategorized,Old Monk,,7.99,TRUE
BEER,TAJ MAHAL,,9.99,TRUE
BEER,FLYING HORSE,,9.99,TRUE
SNACKS_OLD,Pickle,,4.99,TRUE
SNACKS_OLD,Boondhi,,2.49,TRUE
SNACKS_OLD,Laddu,,1.99,TRUE
Uncategorized,MAAZA,,3.99,TRUE
ICE CREAMS,BUTTERSCOTCH,,2.99,TRUE
ICE CREAMS,TUTI FRUTI,,2.99,TRUE
ICE CREAMS,CASSATTA,,4.99,TRUE
ICE CREAMS,CHOCOBAR,,2.99,TRUE
ICE CREAMS,MANGO DOLLY,,2.99,TRUE
ICE CREAMS,BADAM KULFI,,3.49,TRUE
